"artist","l1","l2","l3"
bizarrap,bizarrap,bizarrap,bizarrap
bizarre inc,bizarre inc,bizarre inc,bizarre inc
bjork,bjork,bjork,bjork
bl,bl,bl,bl
blac youngsta,blac youngsta,blac youngsta,blac youngsta
black bo,black bo,black bo,black bo
black eyed peas,black eyed peas,black eyed peas,black eyed peas
black moon,black moon,black moon,black moon
black oak arkansas,black oak arkansas,black oak arkansas,black oak arkansas
black rob,black rob,black rob,black rob
black sabbath,black sabbath,black sabbath,black sabbath
black sheep,black sheep,black sheep,black sheep
blackbear,blackbear,blackbear,blackbear
blackfoot,blackfoot,blackfoot,blackfoot
blackgirl,blackgirl,blackgirl,blackgirl
blackhawk,blackhawk,blackhawk,blackhawk
blackjack,blackjack,blackjack,blackjack
blackpink,blackpink,blackpink,blackpink
blackstreet,blackstreet,blackstreet,blackstreet
blackstreet (,blackstreet (,blackstreet (,blackstreet
blackwell,blackwell,blackwell,blackwell
blahzay blahzay,blahzay blahzay,blahzay blahzay,blahzay blahzay
blaine larsen,blaine larsen,blaine larsen,blaine larsen
blair,blair,blair,blair
blake lewis,blake lewis,blake lewis,blake lewis
blake shelton,blake shelton,blake shelton,blake shelton
blake shelton duet,blake shelton duet,blake shelton duet,blake shelton duet
blanco brown,blanco brown,blanco brown,blanco brown
blaque,blaque,blaque,blaque
blaze,blaze,blaze,blaze
blessid union of souls,blessid union of souls,blessid union of souls,blessid union of souls
bleu,bleu,bleu,bleu
blind melon,blind melon,blind melon,blind melon
blink-182,blink-182,blink-182,blink 182
blinky,blinky,blinky,blinky
blocboy jb,blocboy jb,blocboy jb,blocboy jb
blondie,blondie,blondie,blondie
blood,blood,blood,blood
bloodhound gang,bloodhound gang,bloodhound gang,bloodhound gang
bloodrock,bloodrock,bloodrock,bloodrock
bloodstone,bloodstone,bloodstone,bloodstone
blu cantrell,blu cantrell,blu cantrell,blu cantrell
blue,blue,blue,blue
blue cheer,blue cheer,blue cheer,blue cheer
blue county,blue county,blue county,blue county
blue haze,blue haze,blue haze,blue haze
blue magic,blue magic,blue magic,blue magic
blue mercedes,blue mercedes,blue mercedes,blue mercedes
blue mink,blue mink,blue mink,blue mink
blue october,blue october,blue october,blue october
blue oyster cult,blue oyster cult,blue oyster cult,blue oyster cult
blue swede,blue swede,blue swede,blue swede
blue train,blue train,blue train,blue train
blue zone u.k.,blue zone u.k.,blue zone u.k.,blue zone u k
blueface,blueface,blueface,blueface
blues brothers,blues brothers,blues brothers,blues brothers
blues image,blues image,blues image,blues image
blues magoos,blues magoos,blues magoos,blues magoos
blues traveler,blues traveler,blues traveler,blues traveler
blur,blur,blur,blur
bo bice,bo bice,bo bice,bo bice
bo diddley,bo diddley,bo diddley,bo diddley
bo donaldson,bo donaldson,bo donaldson,bo donaldson
bob,bob,bob,bob
bob b. so,bob b. so,bob b. so,bob b so
bob beckham,bob beckham,bob beckham,bob beckham
bob braun,bob braun,bob braun,bob braun
bob crewe,bob crewe,bob crewe,bob crewe
bob crewe generation,bob crewe generation,bob crewe generation,bob crewe generation
bob dylan,bob dylan,bob dylan,bob dylan
bob dylan/the b,bob dylan/the b,bob dylan/the b,bob dylan the b
bob geldof,bob geldof,bob geldof,bob geldof
bob james,bob james,bob james,bob james
bob kayli,bob kayli,bob kayli,bob kayli
bob kuban,bob kuban,bob kuban,bob kuban
bob lind,bob lind,bob lind,bob lind
bob luman,bob luman,bob luman,bob luman
bob marley,bob marley,bob marley,bob marley
bob mcfadden,bob mcfadden,bob mcfadden,bob mcfadden
bob mcgilpin,bob mcgilpin,bob mcgilpin,bob mcgilpin
bob moore,bob moore,bob moore,bob moore
bob seger,bob seger,bob seger,bob seger
bob seger system,bob seger system,bob seger system,bob seger system
bob weir,bob weir,bob weir,bob weir
bob welch,bob welch,bob welch,bob welch
bobbi martin,bobbi martin,bobbi martin,bobbi martin
bobbie gentry,bobbie gentry,bobbie gentry,bobbie gentry
bobby arvon,bobby arvon,bobby arvon,bobby arvon
bobby bare,bobby bare,bobby bare,bobby bare
bobby bl,bobby bl,bobby bl,bobby bl
bobby bloom,bobby bloom,bobby bloom,bobby bloom
bobby blue bl,bobby blue bl,bobby blue bl,bobby blue bl
bobby boris pickett,bobby boris pickett,bobby boris pickett,bobby boris pickett
bobby brackins,bobby brackins,bobby brackins,bobby brackins
bobby brown,bobby brown,bobby brown,bobby brown
bobby byrd,bobby byrd,bobby byrd,bobby byrd
bobby caldwell,bobby caldwell,bobby caldwell,bobby caldwell
bobby callender,bobby callender,bobby callender,bobby callender
bobby cole,bobby cole,bobby cole,bobby cole
bobby comstock,bobby comstock,bobby comstock,bobby comstock
bobby curtola,bobby curtola,bobby curtola,bobby curtola
bobby darin,bobby darin,bobby darin,bobby darin
bobby day,bobby day,bobby day,bobby day
bobby edwards,bobby edwards,bobby edwards,bobby edwards
bobby freeman,bobby freeman,bobby freeman,bobby freeman
bobby fuller four,bobby fuller four,bobby fuller four,bobby fuller four
bobby goldsboro,bobby goldsboro,bobby goldsboro,bobby goldsboro
bobby gregg,bobby gregg,bobby gregg,bobby gregg
bobby hamilton,bobby hamilton,bobby hamilton,bobby hamilton
bobby hatfield,bobby hatfield,bobby hatfield,bobby hatfield
bobby hebb,bobby hebb,bobby hebb,bobby hebb
bobby helms,bobby helms,bobby helms,bobby helms
bobby hendricks,bobby hendricks,bobby hendricks,bobby hendricks
bobby lewis,bobby lewis,bobby lewis,bobby lewis
bobby marchan,bobby marchan,bobby marchan,bobby marchan
bobby mcclure,bobby mcclure,bobby mcclure,bobby mcclure
bobby mcferrin,bobby mcferrin,bobby mcferrin,bobby mcferrin
bobby moore,bobby moore,bobby moore,bobby moore
bobby moore's rhythm aces,bobby moore's rhythm aces,bobby moores rhythm aces,bobby moores rhythm aces
bobby parker,bobby parker,bobby parker,bobby parker
bobby pedrick,bobby pedrick,bobby pedrick,bobby pedrick
bobby peterson,bobby peterson,bobby peterson,bobby peterson
bobby peterson quintet,bobby peterson quintet,bobby peterson quintet,bobby peterson quintet
bobby pickett,bobby pickett,bobby pickett,bobby pickett
bobby pinson,bobby pinson,bobby pinson,bobby pinson
bobby powell,bobby powell,bobby powell,bobby powell
bobby ross avila,bobby ross avila,bobby ross avila,bobby ross avila
bobby russell,bobby russell,bobby russell,bobby russell
bobby rydell,bobby rydell,bobby rydell,bobby rydell
bobby rydell/chubby checker,bobby rydell/chubby checker,bobby rydell/chubby checker,bobby rydell chubby checker
bobby shafto,bobby shafto,bobby shafto,bobby shafto
bobby sherman,bobby sherman,bobby sherman,bobby sherman
bobby shmurda,bobby shmurda,bobby shmurda,bobby shmurda
bobby taylor,bobby taylor,bobby taylor,bobby taylor
bobby v,bobby v,bobby v,bobby v
bobby valentino,bobby valentino,bobby valentino,bobby valentino
bobby vee,bobby vee,bobby vee,bobby vee
bobby vinton,bobby vinton,bobby vinton,bobby vinton
bobby womack,bobby womack,bobby womack,bobby womack
bobby wood,bobby wood,bobby wood,bobby wood
bodeans,bodeans,bodeans,bodeans
body head bangerz,body head bangerz,body head bangerz,body head bangerz
bon jovi,bon jovi,bon jovi,bon jovi
bone crusher,bone crusher,bone crusher,bone crusher
bone thugs-n-harmony,bone thugs-n-harmony,bone thugs-n-harmony,bone thugs n harmony
bones,bones,bones,bones
boney m.,boney m.,boney m.,boney m
bonham,bonham,bonham,bonham
bonnie,bonnie,bonnie,bonnie
bonnie boyer,bonnie boyer,bonnie boyer,bonnie boyer
bonnie guitar,bonnie guitar,bonnie guitar,bonnie guitar
bonnie mckee,bonnie mckee,bonnie mckee,bonnie mckee
bonnie pointer,bonnie pointer,bonnie pointer,bonnie pointer
bonnie raitt,bonnie raitt,bonnie raitt,bonnie raitt
bonnie tyler,bonnie tyler,bonnie tyler,bonnie tyler
book of love,book of love,book of love,book of love
booker t.,booker t.,booker t.,booker t
boomer castleman,boomer castleman,boomer castleman,boomer castleman
boomkat,boomkat,boomkat,boomkat
boots brown,boots brown,boots brown,boots brown
boots r,boots r,boots r,boots r
boots walker,boots walker,boots walker,boots walker
born jamericans,born jamericans,born jamericans,born jamericans
boss,boss,boss,boss
bossman dlow,bossman dlow,bossman dlow,bossman dlow
boston,boston,boston,boston
boston pops orchestra / arthur fiedler,boston pops orchestra / arthur fiedler,boston pops orchestra / arthur fiedler,boston pops orchestra arthur fiedler
bounty killa,bounty killa,bounty killa,bounty killa
bounty killer,bounty killer,bounty killer,bounty killer
bourgeois tagg,bourgeois tagg,bourgeois tagg,bourgeois tagg
bow wow,bow wow,bow wow,bow wow
bow wow wow,bow wow wow,bow wow wow,bow wow wow
bowling for soup,bowling for soup,bowling for soup,bowling for soup
boy,boy,boy,boy
boy george,boy george,boy george,boy george
boy krazy,boy krazy,boy krazy,boy krazy
boy meets girl,boy meets girl,boy meets girl,boy meets girl
boyd bennett,boyd bennett,boyd bennett,boyd bennett
boys club,boys club,boys club,boys club
boys don't cry,boys don't cry,boys dont cry,boys dont cry
boys like girls,boys like girls,boys like girls,boys like girls
boyz ii men,boyz ii men,boyz ii men,boyz ii men
boyz n da hood,boyz n da hood,boyz n da hood,boyz n da hood
boz scaggs,boz scaggs,boz scaggs,boz scaggs
br,br,br,br
brad paisley,brad paisley,brad paisley,brad paisley
brad paisley duet,brad paisley duet,brad paisley duet,brad paisley duet
bradley cooper,bradley cooper,bradley cooper,bradley cooper
brady seals,brady seals,brady seals,brady seals
brainstorm,brainstorm,brainstorm,brainstorm
bram tchaikovsky,bram tchaikovsky,bram tchaikovsky,bram tchaikovsky
brantley gilbert,brantley gilbert,brantley gilbert,brantley gilbert
brantley gilbert + lindsay ell,brantley gilbert + lindsay ell,brantley gilbert + lindsay ell,brantley gilbert lindsay ell
brass construction,brass construction,brass construction,brass construction
bravo all stars,bravo all stars,bravo all stars,bravo all stars
bread,bread,bread,bread
breaking benjamin,breaking benjamin,breaking benjamin,breaking benjamin
breathe,breathe,breathe,breathe
breathe carolina,breathe carolina,breathe carolina,breathe carolina
breathless,breathless,breathless,breathless
brel,brel,brel,brel
brenda,brenda,brenda,brenda
brenda holloway,brenda holloway,brenda holloway,brenda holloway
brenda k. starr,brenda k. starr,brenda k. starr,brenda k starr
brenda lee,brenda lee,brenda lee,brenda lee
brenda russell,brenda russell,brenda russell,brenda russell
brent bourgeois,brent bourgeois,brent bourgeois,brent bourgeois
brent faiyaz,brent faiyaz,brent faiyaz,brent faiyaz
brenton wood,brenton wood,brenton wood,brenton wood
brett eldredge,brett eldredge,brett eldredge,brett eldredge
brett young,brett young,brett young,brett young
brewer,brewer,brewer,brewer
brian auger,brian auger,brian auger,brian auger
brian hyl,brian hyl,brian hyl,brian hyl
brian mccomas,brian mccomas,brian mccomas,brian mccomas
brian mcknight,brian mcknight,brian mcknight,brian mcknight
brian poole,brian poole,brian poole,brian poole
brian protheroe,brian protheroe,brian protheroe,brian protheroe
brian wilson,brian wilson,brian wilson,brian wilson
brick,brick,brick,brick
bridgit mendler,bridgit mendler,bridgit mendler,bridgit mendler
brighter side of darkness,brighter side of darkness,brighter side of darkness,brighter side of darkness
british lions,british lions,british lions,british lions
britney spears,britney spears,britney spears,britney spears
britny fo,britny fo,britny fo,britny fo
britt nicole,britt nicole,britt nicole,britt nicole
bro smith,bro smith,bro smith,bro smith
broadway,broadway,broadway,broadway
broadway for orl,broadway for orl,broadway for orl,broadway for orl
brockhampton,brockhampton,brockhampton,brockhampton
bronski beat,bronski beat,bronski beat,bronski beat
brook benton,brook benton,brook benton,brook benton
brooke hogan,brooke hogan,brooke hogan,brooke hogan
brooke valentine,brooke valentine,brooke valentine,brooke valentine
brooke white,brooke white,brooke white,brooke white
brooklyn bounce,brooklyn bounce,brooklyn bounce,brooklyn bounce
brooklyn bridge,brooklyn bridge,brooklyn bridge,brooklyn bridge
brooklyn dreams,brooklyn dreams,brooklyn dreams,brooklyn dreams
brooks,brooks,brooks,brooks
brooks o'dell,brooks o'dell,brooks odell,brooks odell
bros,bros,bros,bros
brother beyond,brother beyond,brother beyond,brother beyond
brother jack mcduff,brother jack mcduff,brother jack mcduff,brother jack mcduff
brother to brother,brother to brother,brother to brother,brother to brother
brotherhood creed,brotherhood creed,brotherhood creed,brotherhood creed
brotherhood of man,brotherhood of man,brotherhood of man,brotherhood of man
brothers osborne,brothers osborne,brothers osborne,brothers osborne
brown boy,brown boy,brown boy,brown boy
brown sugar,brown sugar,brown sugar,brown sugar
brownstone,brownstone,brownstone,brownstone
brownsville station,brownsville station,brownsville station,brownsville station
brs kash,brs kash,brs kash,brs kash
bruce,bruce,bruce,bruce
bruce channel,bruce channel,bruce channel,bruce channel
bruce cockburn,bruce cockburn,bruce cockburn,bruce cockburn
bruce foster,bruce foster,bruce foster,bruce foster
bruce hornsby,bruce hornsby,bruce hornsby,bruce hornsby
bruce springsteen,bruce springsteen,bruce springsteen,bruce springsteen
bruce willis,bruce willis,bruce willis,bruce willis
bruno mars,bruno mars,bruno mars,bruno mars
bryan adams,bryan adams,bryan adams,bryan adams
bryan adams/rod stewart/sting,bryan adams/rod stewart/sting,bryan adams/rod stewart/sting,bryan adams rod stewart sting
bryan adams/tina turner,bryan adams/tina turner,bryan adams/tina turner,bryan adams tina turner
bryan ferry,bryan ferry,bryan ferry,bryan ferry
bryan martin,bryan martin,bryan martin,bryan martin
bryce vine,bryce vine,bryce vine,bryce vine
bryson gray,bryson gray,bryson gray,bryson gray
bryson tiller,bryson tiller,bryson tiller,bryson tiller
bt,bt,bt,bt
bto,bto,bto,bto
bts,bts,bts,bts
bubba spar,bubba spar,bubba spar,bubba spar
buchanan brothers,buchanan brothers,buchanan brothers,buchanan brothers
buck 22,buck 22,buck 22,buck 22
buck owens,buck owens,buck owens,buck owens
buckcherry,buckcherry,buckcherry,buckcherry
buckeye,buckeye,buckeye,buckeye
buckner,buckner,buckner,buckner
buckwheat,buckwheat,buckwheat,buckwheat
bucky covington,bucky covington,bucky covington,bucky covington
bud,bud,bud,bud
bud shank,bud shank,bud shank,bud shank
buddy greco,buddy greco,buddy greco,buddy greco
buddy holly,buddy holly,buddy holly,buddy holly
buddy jewell,buddy jewell,buddy jewell,buddy jewell
buddy kno,buddy kno,buddy kno,buddy kno
buddy miles,buddy miles,buddy miles,buddy miles
buddy miles e,buddy miles e,buddy miles e,buddy miles e
buddy starcher,buddy starcher,buddy starcher,buddy starcher
buffalo springfield,buffalo springfield,buffalo springfield,buffalo springfield
buffy,buffy,buffy,buffy
buffy sainte-marie,buffy sainte-marie,buffy sainte-marie,buffy sainte marie
bull,bull,bull,bull
bull moose jackson,bull moose jackson,bull moose jackson,bull moose jackson
bulldog,bulldog,bulldog,bulldog
bullet,bullet,bullet,bullet
bulletboys,bulletboys,bulletboys,bulletboys
bumble bee unlimited,bumble bee unlimited,bumble bee unlimited,bumble bee unlimited
bunker hill,bunker hill,bunker hill,bunker hill
bunny sigler,bunny sigler,bunny sigler,bunny sigler
burl ives,burl ives,burl ives,burl ives
burna boy,burna boy,burna boy,burna boy
burt bacharach,burt bacharach,burt bacharach,burt bacharach
burt reynolds,burt reynolds,burt reynolds,burt reynolds
burton cummings,burton cummings,burton cummings,burton cummings
bus boys,bus boys,bus boys,bus boys
bush,bush,bush,bush
busta rhymes,busta rhymes,busta rhymes,busta rhymes
buster brown,buster brown,buster brown,buster brown
