artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,source,matched_from,last_chart_year,genre_main
stories,stories,stories,stories,stories,2TzZg302CB0oW5ZMeTW98p,power pop;art rock;pop rock;pop soul,musicbrainz,artist,1973,Rock
strawberry alarm clock,strawberry alarm clock,strawberry alarm clock,strawberry alarm clock,Strawberry Alarm Clock,1nyQBzKgZ2hBLr7PnyV7cI,psychedelic rock;acid rock;baroque pop,spotify,artist,1969,Pop
stray cats,stray cats,stray cats,stray cats,Stray Cats,2ibPkysx2PXqWLmxFD7jSg,rockabilly;psychobilly,spotify,artist,1984,Rock
stray kids,stray kids,stray kids,stray kids,Stray Kids,2dIgFjalVxs4ThymZ67YCE,k-pop;noise music,spotify,artist,2025,Pop
stray kids featuring charlie puth,stray kids,stray kids,stray kids,Stray Kids,2dIgFjalVxs4ThymZ67YCE,k-pop;noise music,spotify,l1,2024,Pop
streek,streek,streek,streek,Streek,1wLZBTLjNwYp62hpLnu2fg,,none,artist,1981,
street people,street people,street people,street people,Street People,4hw2kdMapUMa6hctMi9KXu,bubblegum pop,spotify,artist,1970,Pop
streets,streets,streets,streets,Streets,3QwQWnVXIXbKPUqSFjANCK,aor;arena rock;glam metal,spotify,artist,1983,Rock
stromae & pomme,stromae & pomme,stromae,stromae,Stromae,5j4HeCoUlzhfWtjAfM1acR,french pop,spotify,l2,2024,Pop
stryper,stryper,stryper,stryper,Stryper,6lE1ly8K8H7u8k2ej2plvv,christian rock;glam metal;glam rock,spotify,artist,1988,Rock
studio all-stars,studio all-stars,studio all-stars,studio allstars,Studio Allstars,0dJ4EXAj8j47TP3U47T4Sj,,none,l3,2008,
styles,styles,styles,styles,Styles,4E4og4XSSjE9uVnhT3zzHW,hip hop;gangsta rap;east coast hip hop;hip hop rnb and dance hall,musicbrainz,artist,2002,HipHop
styx,styx,styx,styx,Styx,4salDzkGmfycRqNUbyBphh,classic rock;aor;progressive rock;arena rock,spotify,artist,1991,Rock
suave,suave,suave,suave,Suave,4TDSoJ3FSsVWC2AgVR4ngQ,new york drill;drill;melodic bass;jersey club,spotify,artist,1988,HipHop
sublime,sublime,sublime,sublime,Sublime,0LwcPzKR2Gf5twm6Mz4Kpv,lo-fi,spotify,artist,1998,
subway,subway,subway,subway,Subway,3Fvbvyqm3GBJKSqf1UwHKQ,quiet storm,spotify,artist,1995,RnB
subway (featuring 702),subway,subway,subway,Subway,3Fvbvyqm3GBJKSqf1UwHKQ,quiet storm,spotify,l1,1995,RnB
sudden change,sudden change,sudden change,sudden change,,,,none,,1994,
sue thompson,sue thompson,sue thompson,sue thompson,Sue Thompson,4KCnuZQWRl9FEwAcduZhP9,,none,artist,1965,
sueco,sueco,sueco,sueco,Sueco,4iDroUFo89Y7YBsdDTBmTD,,none,artist,2021,
suga free,suga free,suga free,suga free,Suga Free,7AjokpCIqf0gHMZJlodw2k,g-funk;west coast hip hop;gangster rap,spotify,artist,1997,HipHop
sugababes,sugababes,sugababes,sugababes,Sugababes,7rZNSLWMjTbwdLNskFbzFf,pop;british;dance-pop;contemporary r&b;electropop,musicbrainz,artist,2004,Pop
sugar bears,sugar bears,sugar bears,sugar bears,,,,none,,1972,
